COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M),Vivendi,Peer group,Violent genre
.HACK: INFECTION,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-Feb-03,2003,2,T,NO,76.59999847,42.00,0.00,0.00,2,15,0,28,341506,14.08,92.09%,38.00,402687,15.29,No,No,Non violent
.HACK: MUTATION,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-May-03,2003,5,T,NO,74.09999847,44.00,0.00,0.00,2,15,0,28,166288,7.14,92.92%,41.00,185581,7.68,No,No,Non violent
.HACK: OUTBREAK,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-Sep-03,2003,9,T,NO,67.90000153,48.00,0.00,0.00,2,15,0,28,100828,4.24,91.74%,40.00,115461,4.63,No,No,Non violent
.HACK: QUARANTINE,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-Jan-04,2004,1,T,NO,65,41.00,14.08,25.46,0,20,3,44,67820,2.75,95.65%,40.00,72144,2.88,No,No,Non violent
1080 AVALANCHE,1,1,0,0,1080 SNOWBOARDING,,NINTENDO OF AMERICA,NINTENDO SOFTWARE TECHNOLOGY,SPORTS,EXTREME SPORTS,01-Dec-03,2003,12,E,NO,74.59999847,49.00,0.00,0.00,0,6,0,15,114732,4.89,86.49%,37.00,154490,5.66,No,No,Non violent
18 WHEELER PRO TRUCKER,2,1,0,1,,,ACCLAIM  ,ACCLAIM STUDIOS,RACING,ACTION ORIENTED RACING,01-Nov-01,2001,2,E,NO,54.39999962,43.50,0.00,0.00,0,26,0,8,134506,5.08,73.79%,28.50,231684,6.88,No,No,Non violent
2002 FIFA WORLD CUP,3,1,1,1,FIFA,WCS (WORLD CUP SOCCER),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,SOCCER,01-Apr-02,2002,4,E,NO,74.40000153,48.33,14.51,23.87,3,14,3,5,298020,14.33,97.20%,44.67,318928,14.74,No,Yes,Non violent
4X4 EVO 2,2,1,1,0,4X4 EVO,,TAKE 2 INTERACTIVE ,TERMINAL REALITY,RACING,ACTION ORIENTED RACING,01-Oct-01,2001,9,E,NO,58.89999962,50.00,0.00,0.00,0,6,0,4,158756,5.26,79.64%,26.50,227735,6.61,No,No,Non violent
4X4 EVOLUTION,1,0,0,1,4X4 EVO,,TAKE 2 INTERACTIVE ,TERMINAL REALITY,RACING,ACTION ORIENTED RACING,01-Mar-01,2001,3,E,NO,65.5,43.00,0.00,0.00,0,23,0,4,88202,3.70,82.92%,35.00,127078,4.47,No,No,Non violent
ACE COMBAT 4,1,0,0,1,ACE COMBAT,,NAMCO,NAMCO,FLIGHT,AIR COMBAT SIMULATIONS,01-Oct-01,2001,10,E,NO,84.69999695,51.00,0.00,0.00,0,3,0,0,680201,28.24,59.54%,29.00,1639304,47.43,No,No,Non violent
ACE COMBAT 5: THE UNSUNG WAR,2,0,0,2,ACE COMBAT,,NAMCO,NAMCO,FLIGHT,AIR COMBAT SIMULATIONS,01-Oct-04,2004,10,T,NO,84.19999695,89.00,56.48,56.48,2,4,2,18,341673,18.03,76.66%,89.00,450012,23.52,No,No,Non violent
ACTIVISION ANTHOLOGY,1,0,0,1,,,ACTIVISION,CONTRABAND ENTERTAINMENT,ARCADE,CLASSIC ARCADE,01-Nov-02,2002,11,E,NO,77.59999847,30.00,0.00,0.00,0,0,0,2,138042,2.78,77.40%,18.00,194514,3.59,No,No,Non violent
ADV OF COOKIE & CREAM,1,0,0,1,,,AGETEC,FROMSOFTWARE,ACTION,PLATFORM/SCROLLING CHARACTER,01-Apr-01,2001,4,E,NO,78.30000305,32.00,0.00,0.00,0,8,0,1,45311,1.31,71.45%,25.00,72381,1.84,No,No,Violent
AERO ELITE: COMBAT,1,0,0,1,,,SEGA OF AMERICA,AM2,FLIGHT,AIR COMBAT SIMULATIONS,01-Mar-03,2003,3,E,NO,65.90000153,48.00,0.00,0.00,0,2,0,6,25760,1.23,92.47%,46.00,28766,1.33,No,No,Non violent
AGASSI TENNIS,1,0,0,1,,PRO TENNIS,DREAMCATCHER INTERACTIVE,DREAMCATCHER,SPORTS,TENNIS,01-Aug-03,2003,8,E,NO,56,20.00,0.00,0.00,0,0,0,4,32096,0.63,90.86%,19.00,35575,0.69,No,No,Non violent
AGGRESSIVE INLINE,3,1,1,1,,,ACCLAIM  ,Z-AXIS,SPORTS,EXTREME SPORTS,01-May-02,2002,5,T,NO,86.03333028,40.67,0.00,0.00,0,37,0,24,139559,5.03,81.99%,28.33,208945,6.14,No,No,Non violent
AIRBLADE,1,0,0,1,,,NAMCO,CRITERION STUDIOS,SPORTS,EXTREME SPORTS,01-Jan-02,2002,1,T,NO,72.90000153,23.00,0.00,0.00,0,16,0,14,75408,1.76,86.57%,22.00,91763,2.03,No,No,Non violent
AIRFORCE DELTA STORM,1,0,1,0,AIR FORCE DELTA,,KONAMI DIGITAL ENT.,KCE STUDIOS,FLIGHT,AIR COMBAT SIMULATIONS,01-Nov-01,2001,11,E,NO,66.5,50.00,0.00,0.00,0,0,0,0,63410,3.18,69.34%,42.00,108447,4.58,No,No,Non violent
AIRFORCE DELTA STRIKE,1,0,0,1,AIR FORCE DELTA,,KONAMI DIGITAL ENT.,KONAMI,FLIGHT,AIR COMBAT SIMULATIONS,01-Feb-04,2004,2,T,NO,65.19999695,30.00,0.00,0.00,0,2,0,9,33079,0.99,87.94%,28.00,39947,1.13,No,No,Non violent
ALIAS,2,0,1,1,,OTHER,ACCLAIM  ,ACCLAIM STUDIOS,ACTION,GENERAL ACTION,01-Apr-04,2004,4,T,NO,63.70000076,31.50,0.00,0.00,0,61,0,140,39330,1.24,82.89%,26.50,56697,1.49,No,No,Violent
